---
Terrain Height ft Valid 1200 GMT ~Z75~(1200Z)~Z~ Sun 23 11 2014 ~Z75~[12hrFcst from 00Z data]~Z~
Model= RASP Region= UK12+2 Grid= d2 Reskm= 12 Indexs= 1 57 1 90 Proj= lambert 12000 12000 60.0000 60.0000 17.0000 54.2976 -3.4798
Day= 2014 11 23 Sun ValidLST= 1200 GMT ValidZ= 1200 Fcst= 42 Init= 42Param= wrf=HGT Unit= ft Mult= 1 Min= 0 Max= 2470
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 126 176 286 651 972 1130 1158 903 560 390 296 239 240 250 294 311 318 407 486 442 315 252 243 195 126 84 68 63 63 81 132 155 111 64 41 22 7 0 0 0 1
0 0 0 0 0 0 0 0 0 0 1 0 0 0 15 51 183 306 375 668 1127 1274 1095 967 766 419 243 304 353 262 209 228 238 269 358 454 427 318 242 181 121 82 54 33 33 83 185 192 99 48 39 22 7 0 0 0 1
0 0 0 0 0 0 1 0 0 0 0 5 18 35 114 208 264 312 354 593 968 1070 925 842 724 416 285 380 333 239 269 305 291 271 279 377 440 367 286 205 118 77 46 11 8 79 193 191 119 73 45 21 7 0 0 0 1
0 0 0 0 0 0 1 0 0 0 0 25 100 204 378 472 436 406 479 608 767 958 945 865 819 549 369 412 353 285 361 414 379 354 293 271 347 419 394 246 118 67 32 4 3 57 134 125 123 97 46 18 7 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 21 125 332 573 613 518 489 591 755 997 1177 1009 979 1106 833 489 443 451 372 396 461 395 305 310 326 299 385 435 289 157 85 29 2 0 22 55 41 47 47 28 14 6 0 0 0 0
0 0 0 1 1 1 2 1 1 0 0 0 66 183 279 344 360 379 446 619 1030 1291 1090 1060 1179 949 643 535 472 359 375 465 393 250 319 413 288 273 351 298 217 129 44 5 0 0 5 6 10 13 12 8 4 1 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 9 10 0 28 76 83 136 297 783 1266 1194 1071 963 766 706 556 364 288 319 390 357 256 261 289 242 210 203 228 236 148 63 52 43 11 0 3 5 6 5 4 3 2 1 0 0
9 8 6 4 2 1 1 0 0 0 0 1 0 0 0 0 0 0 0 65 483 950 982 860 656 460 454 364 234 237 289 327 330 283 238 209 235 242 155 143 189 137 90 146 143 47 0 2 2 1 1 1 2 1 1 0 0
19 15 11 6 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 7 279 599 829 913 644 356 280 245 210 252 358 407 431 474 464 366 329 328 210 115 125 120 130 218 200 58 0 2 2 1 1 1 1 1 0 0 0
65 58 51 43 34 21 13 5 1 0 0 0 0 0 0 0 0 0 0 0 300 890 1214 1188 989 745 485 274 224 256 343 443 626 880 837 560 418 342 230 155 125 129 180 231 158 30 0 2 2 0 0 0 0 0 0 0 0
137 127 116 104 91 71 57 28 10 2 0 0 0 0 0 0 1 0 0 0 228 1051 1396 1201 1172 1148 765 307 191 203 197 328 755 1206 1071 632 395 289 220 167 121 133 200 197 79 0 0 2 2 0 0 0 0 0 0 0 0
242 227 212 196 177 152 132 80 25 5 0 0 0 0 0 0 0 15 63 28 158 725 1148 1159 1084 1063 913 415 132 168 121 190 579 1107 1270 909 442 235 177 100 51 91 168 132 24 0 0 2 2 0 0 0 0 0 0 0 0
338 320 302 281 259 262 233 165 81 14 0 1 0 0 0 0 0 28 125 173 250 755 1178 1063 905 845 798 397 61 112 93 108 244 749 1432 1291 571 217 137 49 11 55 145 74 3 1 0 3 2 0 0 0 0 0 0 0 0
426 408 387 360 338 367 353 284 213 75 0 0 1 0 0 0 0 10 42 59 189 826 1201 772 511 494 398 161 5 69 88 82 92 559 1253 1072 452 208 125 41 7 70 156 55 3 1 0 3 2 0 0 0 0 0 0 0 0
503 486 465 433 413 407 417 421 413 256 27 0 0 0 0 0 1 0 0 0 64 376 576 380 157 92 62 4 13 119 229 315 381 695 973 688 323 205 126 50 34 138 192 59 3 0 0 3 2 0 0 0 0 0 0 0 0
547 532 509 471 453 436 417 478 624 563 236 17 0 0 0 0 0 0 0 32 128 125 52 46 20 0 0 0 23 107 294 571 734 862 916 685 394 239 146 69 73 212 309 187 44 9 0 3 2 0 0 0 0 0 0 0 0
547 532 509 471 453 470 431 500 856 1074 693 109 0 0 0 0 0 0 0 47 146 133 9 0 0 0 0 0 2 29 151 379 571 788 905 724 486 292 140 69 92 238 365 301 140 33 0 3 2 0 0 0 0 0 0 0 0
537 532 503 451 438 459 430 494 856 1353 1178 278 0 0 0 0 0 0 1 14 32 26 4 0 0 0 0 0 0 2 85 298 525 722 761 765 729 419 127 90 165 215 247 241 130 21 0 3 2 0 0 0 0 0 0 0 0
501 498 468 418 407 415 421 464 591 966 1011 283 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 97 476 728 770 837 996 978 542 144 164 326 339 391 384 119 0 0 3 2 0 0 0 0 0 0 0 0
453 447 419 378 371 376 393 417 402 440 378 97 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31 311 621 938 1271 1304 1016 519 160 241 548 707 722 537 124 0 0 2 2 0 0 0 0 0 0 0 0
395 380 359 336 331 343 359 352 331 268 166 91 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 71 420 1031 1494 1438 1021 539 210 221 571 807 614 282 47 0 0 1 1 0 0 0 0 0 0 0 0
342 325 310 300 300 329 365 336 294 258 253 199 56 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 41 108 74 104 375 885 1379 1475 1110 615 266 143 274 394 221 21 0 0 0 0 0 0 1 0 0 0 0 0 0
295 281 273 274 280 318 370 349 281 232 264 230 65 0 0 0 0 0 0 0 20 77 39 0 0 5 0 0 71 391 476 400 663 911 1141 1412 1156 630 335 223 133 45 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0
257 251 250 258 274 310 353 373 321 225 243 228 58 0 0 0 1 0 0 0 39 204 321 245 54 0 0 0 76 669 1088 984 1022 869 878 1372 1288 811 503 389 279 42 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
238 237 243 255 274 291 316 366 398 331 230 130 58 67 9 0 0 2 0 0 2 91 412 541 164 0 0 0 132 820 1464 1495 1040 666 1007 1608 1561 1078 638 423 294 69 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
